a,b,c,d,e,val-esp
3.0,5.0,2.0,-3.0,-4.0,19.09
-3.0,-3.0,-4.0,-1.0,5.0,-7.696666666666667
5.0,-2.0,-2.0,3.0,1.0,-17.17
-3.0,2.0,0.0,-5.0,-4.0,7.656666666666666
-3.0,5.0,-5.0,4.0,5.0,46.85666666666667
4.0,5.0,2.0,5.0,-1.0,10.923333333333332
3.0,-4.0,-2.0,-4.0,-1.0,45.55000000000001
-2.0,0.0,5.0,-1.0,-1.0,-7.043333333333333
4.0,5.0,5.0,0.0,-2.0,-5.41
5.0,-1.0,4.0,-2.0,-3.0,18.11
2.0,-5.0,4.0,-2.0,1.0,10.923333333333336
-1.0,-3.0,0.0,4.0,1.0,23.33666666666667
-4.0,-4.0,1.0,5.0,-3.0,61.55666666666666
0.0,2.0,5.0,1.0,5.0,-3.1233333333333335
3.0,0.0,5.0,-5.0,4.0,59.92333333333333
-1.0,3.0,2.0,0.0,-3.0,-5.41
4.0,-4.0,2.0,1.0,-4.0,-11.616666666666667
3.0,-1.0,5.0,-4.0,0.0,41.629999999999995
-4.0,-1.0,-4.0,1.0,3.0,2.4299999999999997
-3.0,-3.0,-2.0,-1.0,5.0,-7.696666666666667
1.0,-3.0,5.0,-3.0,-5.0,17.13
-5.0,2.0,-3.0,-5.0,5.0,-8.676666666666666
3.0,5.0,-3.0,0.0,5.0,-5.41
-3.0,-4.0,-4.0,-3.0,-3.0,-1.4899999999999998
-5.0,0.0,-1.0,3.0,5.0,33.790000000000006
-2.0,-5.0,-2.0,3.0,0.0,14.190000000000001
-4.0,5.0,4.0,-2.0,-4.0,-15.21
-4.0,-3.0,-2.0,-2.0,-5.0,-9.983333333333334
1.0,-1.0,-2.0,3.0,5.0,3.41
5.0,0.0,-4.0,5.0,3.0,-5.41
3.0,0.0,-5.0,3.0,0.0,-5.41
4.0,0.0,-4.0,1.0,3.0,-10.31
5.0,-2.0,3.0,1.0,4.0,-12.596666666666668
4.0,5.0,0.0,2.0,0.0,-8.676666666666666
-2.0,4.0,0.0,-5.0,3.0,12.556666666666668
-3.0,4.0,-4.0,-5.0,2.0,4.389999999999999
4.0,-1.0,-5.0,2.0,5.0,-12.596666666666668
5.0,0.0,-2.0,4.0,-4.0,-11.943333333333333
0.0,-2.0,3.0,4.0,1.0,18.11
-2.0,4.0,-4.0,-1.0,-1.0,-8.35
5.0,5.0,-3.0,-2.0,0.0,14.190000000000001
1.0,-5.0,5.0,1.0,-4.0,-7.043333333333333
0.0,-5.0,3.0,-1.0,3.0,-2.1433333333333335
1.0,2.0,-1.0,-1.0,3.0,-2.796666666666667
5.0,0.0,4.0,-2.0,4.0,17.45666666666667
3.0,-5.0,-4.0,0.0,4.0,-5.41
1.0,-5.0,0.0,-5.0,-1.0,51.756666666666675
-1.0,-5.0,-4.0,-3.0,-2.0,9.290000000000001
5.0,4.0,-1.0,0.0,1.0,-5.41
4.0,-1.0,-5.0,2.0,1.0,-12.596666666666668
-2.0,-2.0,-4.0,0.0,0.0,-5.41
-2.0,5.0,2.0,5.0,-2.0,59.92333333333333
-1.0,2.0,1.0,5.0,-1.0,46.85666666666667
-1.0,0.0,3.0,3.0,4.0,14.190000000000001
-5.0,2.0,-1.0,-3.0,-5.0,-17.17
-5.0,2.0,-2.0,2.0,-5.0,18.763333333333335
-1.0,0.0,3.0,-2.0,-1.0,-2.1433333333333335
5.0,-3.0,0.0,3.0,-1.0,-18.150000000000002
2.0,5.0,5.0,2.0,-3.0,-2.1433333333333335
-1.0,0.0,-3.0,-2.0,-1.0,-2.1433333333333335
4.0,3.0,1.0,0.0,-3.0,-5.41
4.0,0.0,1.0,3.0,4.0,-10.31
-1.0,3.0,5.0,-4.0,-1.0,10.27
-3.0,2.0,5.0,-5.0,-2.0,7.656666666666666
3.0,-4.0,3.0,-3.0,-3.0,27.91
-5.0,-2.0,0.0,4.0,-2.0,50.77666666666667
4.0,1.0,-5.0,-5.0,3.0,66.45666666666668
-2.0,-2.0,1.0,4.0,5.0,31.176666666666666
-5.0,-2.0,-3.0,0.0,-4.0,-5.41
-4.0,0.0,5.0,-4.0,-3.0,-5.41
-3.0,3.0,-3.0,3.0,-2.0,26.930000000000003
0.0,-1.0,-5.0,5.0,4.0,33.78999999999999
-3.0,-1.0,-2.0,0.0,-2.0,-5.41
-5.0,-3.0,1.0,3.0,-3.0,30.850000000000005
4.0,-4.0,-5.0,4.0,2.0,-10.636666666666667
4.0,-4.0,-5.0,-5.0,2.0,74.62333333333335
4.0,4.0,-1.0,5.0,0.0,9.290000000000001
-5.0,-3.0,3.0,-4.0,5.0,-8.023333333333333
0.0,5.0,-5.0,5.0,-4.0,43.59
4.0,-5.0,2.0,4.0,0.0,-11.943333333333333
-4.0,1.0,-2.0,-3.0,3.0,-11.29
-3.0,-1.0,0.0,-5.0,-3.0,12.556666666666668
-4.0,-4.0,-4.0,-4.0,5.0,-0.18333333333333357
1.0,-1.0,-3.0,0.0,1.0,-5.41
-2.0,-4.0,-5.0,-5.0,5.0,25.623333333333335
1.0,-1.0,-4.0,-2.0,5.0,5.043333333333333
1.0,-3.0,5.0,2.0,4.0,-4.1033333333333335
-5.0,-4.0,5.0,3.0,-4.0,29.87
-2.0,3.0,3.0,-4.0,-2.0,3.7366666666666664
-5.0,2.0,-4.0,-4.0,4.0,-14.556666666666667
-3.0,0.0,-2.0,-2.0,-3.0,-8.676666666666666
3.0,-3.0,-2.0,5.0,-5.0,6.023333333333333
0.0,-5.0,3.0,4.0,4.0,14.190000000000001
-1.0,-4.0,-1.0,1.0,-5.0,-3.45
5.0,1.0,-4.0,0.0,-5.0,-5.41
-2.0,5.0,-3.0,-1.0,3.0,-8.676666666666666
5.0,1.0,-3.0,-2.0,2.0,16.803333333333335
-2.0,-5.0,-3.0,5.0,-1.0,43.59
1.0,4.0,3.0,5.0,4.0,33.78999999999999
-4.0,5.0,-2.0,-1.0,1.0,-11.943333333333333
